task_id,timestamp_us,total_run_time,total_io_wait_time,total_ready_wait_time,delta
F,98995,40874,0,39008,9
B,108995,38992,0,50890,10
F,193995,90864,0,84018,9
F,288995,140854,0,129028,9
B,317995,137970,0,160912,10
F,383995,190844,0,174038,9
F,478995,240834,0,219048,9
B,526995,236948,0,270934,10
F,573995,290824,0,264058,9
F,668995,340814,0,309068,9
B,735995,335926,0,380956,10
F,763995,390804,0,354078,9
F,854995,437794,0,399088,9
B,945995,440904,0,482978,9
F,959995,482784,0,454098,14
F,1099995,533774,0,534108,19
F,1276995,598764,0,639118,24
B,1292995,638882,0,614000,16
F,1497995,683754,0,767128,27
F,1753995,793744,0,907138,28
B,1835995,934860,0,845022,27
F,2042995,928734,0,1053148,31
F,2368995,1088724,0,1212158,33
B,2548995,1278838,0,1197044,38
F,2738995,1273714,0,1387168,38
F,3150995,1477704,0,1587178,43
B,3464995,1716816,0,1656066,47
F,3605995,1702694,0,1808188,47
F,4101995,1949684,0,2052198,50
B,4551995,2251794,0,2200088,50
F,4601995,2199674,0,2302208,50
F,5101995,2449664,0,2552218,50
F,5601995,2699654,0,2802228,50
B,5651995,2801772,0,2750110,50
F,6101995,2949644,0,3052238,50
